date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under,home_underlying,away_underlying
2020-02-29 17:00:00,DC United,Colorado Rapids,1,2,-0.25,1.82,2.08,2.75,1.9,1.98,1.6956741730671732,1.2934388731067257
2020-02-29 19:00:00,Club de Foot Montreal,New England Revolution,2,1,0.25,1.79,2.12,2.75,1.95,1.93,1.4077561934553395,1.5326035871448986
2020-02-29 19:30:00,Houston Dynamo,Los Angeles Galaxy,1,1,-0.25,1.89,2.0,3.25,1.87,2.01,1.9356490054380762,1.605597247345231
2020-02-29 21:30:00,San Jose Earthquakes,Toronto FC,2,2,-0.5,1.93,1.96,3.0,1.88,2.0,1.9061148717374687,1.3506980489160434
2020-02-29 22:00:00,Orlando City,Real Salt Lake,0,0,-0.5,1.99,1.91,2.5,1.99,1.89,1.5825145483534189,1.0716324317479735
2020-02-29 22:00:00,FC Dallas,Philadelphia Union,2,0,-0.5,1.93,1.98,2.75,1.99,1.89,1.7313075656684656,1.1599378903800988
2020-03-01 00:00:00,Nashville SC,Atlanta Utd,1,2,0.25,2.05,1.85,2.75,1.99,1.88,1.2603028554919613,1.6336525613675301
2020-03-01 02:30:00,Vancouver Whitecaps,Sporting Kansas City,1,3,0.25,2.0,1.9,3.0,2.06,1.82,1.3798259821807868,1.7058059051396055
2020-03-01 16:30:00,Columbus Crew,New York City,1,0,-0.25,1.98,1.93,2.75,1.91,1.97,1.617330679740561,1.3625662198430715
2020-03-01 17:00:00,New York Red Bulls,FC Cincinnati,3,2,-1.0,2.02,1.88,3.0,1.95,1.93,2.0927886281573524,1.0892196652987587
2020-03-01 19:00:00,Seattle Sounders,Chicago Fire,2,1,-0.5,2.0700000000000003,1.83,2.75,1.98,1.9,1.6618465244729428,1.2415091668618146
2020-03-01 21:30:00,Los Angeles FC,Inter Miami,1,0,-1.75,2.03,1.86,3.5,1.87,2.01,2.7679972382589755,1.0248577535754848
2020-03-01 23:30:00,Portland Timbers,Minnesota United,1,3,-0.75,2.02,1.88,3.0,1.91,1.97,1.974563075008651,1.250256316719658
2020-03-07 17:30:00,New England Revolution,Chicago Fire,1,1,-0.25,1.86,2.03,3.0,1.85,2.02,1.8223651210846674,1.462145195506319
2020-03-07 18:00:00,Real Salt Lake,New York Red Bulls,1,1,-0.25,2.1,1.8,2.75,2.04,1.85,1.494650835987511,1.353501941493556
2020-03-07 19:00:00,FC Dallas,Club de Foot Montreal,2,2,-1.0,1.9,2.0,2.75,1.82,2.06,2.088079500782355,0.9787505491558478
2020-03-07 19:30:00,DC United,Inter Miami,2,1,-0.25,2.04,1.85,2.75,1.92,1.97,1.58169475015829,1.3934078135685544
2020-03-07 21:00:00,Toronto FC,New York City,1,0,-0.5,1.93,1.98,3.0,1.93,1.95,1.8867321537172772,1.319885538371378
2020-03-07 23:00:00,Atlanta Utd,FC Cincinnati,2,1,-1.0,2.05,1.85,2.75,1.84,2.04,2.0145311770287155,1.0323448657050123
2020-03-08 00:00:00,San Jose Earthquakes,Minnesota United,2,5,-0.5,1.95,1.95,3.0,1.94,1.94,1.8684075225611954,1.3285342992620854
2020-03-08 00:30:00,Sporting Kansas City,Houston Dynamo,4,0,-0.75,1.85,2.05,3.0,1.93,1.96,2.051025741904733,1.1568891024384513
2020-03-08 01:00:00,Colorado Rapids,Orlando City,2,1,-0.75,1.85,2.06,2.75,1.89,1.99,1.9463884286772153,1.047486906168534
2020-03-08 02:00:00,Los Angeles Galaxy,Vancouver Whitecaps,0,1,-1.25,1.93,1.97,3.5,1.96,1.93,2.5172993372549155,1.169296187733521
2020-03-08 02:00:00,Seattle Sounders,Columbus Crew,1,1,-0.5,1.98,1.92,2.75,2.04,1.84,1.6774815146315196,1.161823587498313
2020-03-08 22:00:00,Portland Timbers,Nashville SC,1,0,-1.0,2.04,1.86,3.0,2.0,1.88,2.060512819234738,1.0727840773773096
2020-03-09 01:30:00,Los Angeles FC,Philadelphia Union,3,3,-1.5,2.02,1.88,3.5,1.91,1.98,2.627112404100074,1.1227222907516936
2020-08-13 00:30:00,FC Dallas,Nashville SC,0,1,-0.75,1.79,2.1100000000000003,2.5,1.94,1.94,1.8270669797917283,0.8766701046518258
2020-08-17 04:07:00,FC Dallas,Nashville SC,0,0,-0.5,1.85,2.04,2.5,2.04,1.84,1.6224815567391093,0.9758458589858984
2020-08-19 00:00:00,Toronto FC,Vancouver Whitecaps,3,0,-1.75,2.01,1.88,3.5,1.96,1.93,2.72519973198224,0.956432578631199
2020-08-20 23:00:00,New York Red Bulls,New York City,1,0,0.0,2.0,1.9,2.75,1.88,2.0,1.4871453726557569,1.5282385285584241
2020-08-20 23:30:00,New England Revolution,Philadelphia Union,0,0,-0.25,1.94,1.96,3.0,2.05,1.83,1.6889241741190426,1.4021360051979042
2020-08-20 23:30:00,Columbus Crew,Chicago Fire,3,0,-0.5,1.87,2.03,2.5,1.86,2.02,1.7135016369237215,1.08412608020247
2020-08-21 23:30:00,Minnesota United,Sporting Kansas City,1,2,0.0,1.98,1.92,3.0,1.94,1.94,1.588283747565517,1.6139207730566765
2020-08-21 23:30:00,FC Cincinnati,DC United,0,0,0.0,1.89,2.0,2.5,2.06,1.82,1.3117020281219842,1.2707124143403985
2020-08-22 00:00:00,Houston Dynamo,FC Dallas,0,0,0.0,1.96,1.94,2.75,2.01,1.88,1.4364038876901597,1.44451441421766
2020-08-22 22:00:00,Los Angeles FC,Los Angeles Galaxy,0,2,-1.5,1.88,2.02,4.0,2.0,1.88,2.8963748904533926,1.2290903663223345
2020-08-22 23:00:00,Atlanta Utd,Nashville SC,2,0,-0.25,1.82,2.08,2.5,2.06,1.83,1.4920598717862734,1.0928967076963558
2020-08-23 00:00:00,Inter Miami,Orlando City,3,2,0.0,2.04,1.86,2.5,1.88,2.01,1.3590282654091874,1.429426914443716
2020-08-23 01:00:00,Colorado Rapids,Real Salt Lake,1,4,-0.25,1.88,2.01,2.5,1.95,1.93,1.5205663514054808,1.1795088237756863
2020-08-24 02:00:00,Portland Timbers,Seattle Sounders,0,3,-0.25,1.93,1.97,3.0,1.97,1.92,1.7352021458551656,1.4393549626219104
2020-08-24 23:00:00,New York City,Columbus Crew,1,0,-0.25,2.12,1.79,2.5,1.88,2.0,1.4556613634496656,1.3252715265725057
2020-08-25 23:00:00,DC United,New England Revolution,1,2,0.25,1.88,2.02,2.5,1.99,1.9,1.2229271939278406,1.4437600395179224
2020-08-25 23:30:00,Philadelphia Union,New York Red Bulls,1,0,-0.25,2.04,1.86,2.75,2.01,1.87,1.534876733324196,1.3388832718670283
2020-08-25 23:30:00,Chicago Fire,FC Cincinnati,3,0,-0.75,2.03,1.88,2.5,1.94,1.94,1.7206567433283324,0.9859065156644273
2020-08-26 00:00:00,Club de Foot Montreal,Vancouver Whitecaps,2,0,-0.75,1.88,2.02,2.75,1.95,1.93,1.8980557523788977,1.03217403798457
2020-08-26 00:30:00,Sporting Kansas City,Houston Dynamo,2,5,-1.0,2.01,1.89,3.0,1.83,2.05,2.155386996818471,1.146401004988099
2020-08-26 23:30:00,Orlando City,Nashville SC,3,1,-0.5,1.98,1.93,2.5,1.96,1.92,1.6059774985661772,1.0809972690892091
2020-08-29 00:00:00,Club de Foot Montreal,Toronto FC,0,1,0.5,2.06,1.85,2.75,1.93,1.95,1.1554743370072098,1.8102396388298425
2020-08-29 19:30:00,Atlanta Utd,Orlando City,1,3,-0.25,1.91,1.99,2.75,2.02,1.85,1.5868878142840006,1.2697582793364939
2020-08-29 23:30:00,FC Cincinnati,Columbus Crew,0,0,0.75,1.93,1.97,2.5,1.94,1.94,0.9665597041793246,1.7538076287749937
2020-08-29 23:30:00,New York City,Chicago Fire,3,1,-0.5,2.05,1.85,3.0,2.05,1.83,1.7622668670164336,1.3276228123731233
2020-08-29 23:30:00,Philadelphia Union,DC United,4,1,-0.5,1.93,1.98,2.75,2.01,1.87,1.7209586984528635,1.1492379712918794
2020-08-30 00:00:00,New England Revolution,New York Red Bulls,1,1,-0.5,1.88,2.02,2.75,1.86,2.02,1.8235291651066363,1.2064512743414308
2020-08-30 00:30:00,FC Dallas,Minnesota United,3,1,-0.25,2.09,1.81,2.75,1.95,1.93,1.5426188102667393,1.395367460405312
2020-08-30 01:00:00,Colorado Rapids,Sporting Kansas City,1,1,0.25,1.87,2.03,3.0,1.84,2.05,1.557060249279711,1.7529246813831378
2020-08-30 02:30:00,Los Angeles Galaxy,San Jose Earthquakes,3,2,-0.25,1.89,2.01,3.25,1.93,1.96,1.905585734973915,1.5705776316552518
2020-08-30 02:30:00,Portland Timbers,Real Salt Lake,4,4,-0.75,2.04,1.85,2.75,1.98,1.91,1.8073464868271765,1.0983629318779675
2020-08-31 00:30:00,Nashville SC,Inter Miami,1,0,-0.25,2.01,1.89,2.25,1.93,1.96,1.350197859971439,1.1159517229350897
2020-08-31 02:00:00,Seattle Sounders,Los Angeles FC,3,1,0.0,1.94,1.96,3.25,1.85,2.04,1.7914383167038612,1.7825751261515395
2020-09-02 00:00:00,Toronto FC,Club de Foot Montreal,0,1,-1.25,2.01,1.89,3.0,1.91,1.97,2.2472095421104457,0.9708733774335148
2020-09-02 23:00:00,Atlanta Utd,Inter Miami,0,0,-0.25,1.99,1.91,2.5,1.92,1.96,1.4899424771590923,1.2446267936790278
