date,home_team,away_team,home_score,away_score,hc_line,hc_home,hc_away,ou_line,over,under
2018-03-03 17:00:00,Toronto FC,Columbus Crew,0,2,-1,1.94,1.98,+2.75,1.98,1.92
2018-03-03 19:30:00,Houston Dynamo,Atlanta Utd,4,0,0,1.8900000000000001,2.0300000000000002,+2.75,1.98,1.92
2018-03-03 23:00:00,Philadelphia Union,New England Revolution,2,0,-0.5,1.96,1.96,+2.5,1.9100000000000001,1.99
2018-03-03 23:30:00,Orlando City,DC United,1,1,-0.25,2.05,1.87,+2.5,1.8599999999999999,2.04
2018-03-04 00:00:00,FC Dallas,Real Salt Lake,1,1,-0.75,1.92,2.0,+2.75,1.94,1.96
2018-03-04 02:30:00,San Jose Earthquakes,Minnesota United,3,2,-1,2.04,1.88,+2.75,1.9300000000000002,1.97
2018-03-04 21:00:00,Seattle Sounders,Los Angeles FC,0,1,-0.75,1.9,2.02,+2.75,1.9,2.0
2018-03-04 22:00:00,Vancouver Whitecaps,Club de Foot Montreal,2,1,-0.5,1.85,2.0700000000000003,+2.75,2.05,1.85
2018-03-04 23:30:00,Sporting Kansas City,New York City,0,2,-0.25,1.8399999999999999,2.09,+2.25,1.83,2.08
2018-03-05 02:00:00,Los Angeles Galaxy,Portland Timbers,2,1,-0.5,2.1100000000000003,1.8199999999999998,+2.5,1.85,2.06
2018-03-10 17:00:00,Columbus Crew,Club de Foot Montreal,3,2,-1,1.97,1.95,+3,2.02,1.88
2018-03-10 17:30:00,New England Revolution,Colorado Rapids,2,1,-0.75,2.08,1.85,+2.75,2.04,1.8599999999999999
2018-03-10 19:30:00,Real Salt Lake,Los Angeles FC,1,5,-0.75,2.05,1.88,+3,2.0,1.9
2018-03-10 22:00:00,Houston Dynamo,Vancouver Whitecaps,1,2,-1,2.1100000000000003,1.8199999999999998,+2.75,1.9100000000000001,1.99
2018-03-10 22:00:00,Chicago Fire,Sporting Kansas City,3,4,0,1.88,2.04,+2.25,1.9100000000000001,1.99
2018-03-10 23:00:00,New York Red Bulls,Portland Timbers,4,0,-0.25,2.1,1.83,+2.75,2.04,1.8599999999999999
2018-03-10 23:30:00,Orlando City,Minnesota United,1,2,-0.75,1.96,1.96,+2.75,1.83,2.08
2018-03-11 18:00:00,Atlanta Utd,DC United,3,1,-1,1.88,2.04,+3,2.0,1.9
2018-03-11 20:00:00,New York City,Los Angeles Galaxy,2,1,-1.25,2.04,1.88,+3,2.02,1.88
2018-03-17 16:30:00,DC United,Houston Dynamo,2,2,-0.25,1.97,1.95,+2.5,1.8399999999999999,2.06
2018-03-17 17:00:00,Philadelphia Union,Columbus Crew,0,0,-0.25,1.99,1.9300000000000002,+2.75,1.96,1.94
2018-03-17 17:00:00,Minnesota United,Chicago Fire,2,1,0,1.85,2.0700000000000003,+3,2.0,1.9
2018-03-17 18:00:00,Club de Foot Montreal,Toronto FC,1,0,+0.25,1.83,2.1,+2.75,2.04,1.8599999999999999
2018-03-17 18:30:00,New York City,Orlando City,2,0,-1,1.99,1.9300000000000002,+2.75,1.9100000000000001,1.99
2018-03-17 22:30:00,Atlanta Utd,Vancouver Whitecaps,4,1,-1.25,2.0700000000000003,1.85,+3,1.9100000000000001,1.99
2018-03-17 23:30:00,Sporting Kansas City,San Jose Earthquakes,3,2,-1.25,2.0700000000000003,1.85,+2.5,1.9100000000000001,1.99
2018-03-18 00:00:00,Real Salt Lake,New York Red Bulls,1,0,-0.25,1.88,2.04,+2.75,1.98,1.92
2018-03-18 20:00:00,FC Dallas,Seattle Sounders,3,0,-0.5,1.8900000000000001,2.0300000000000002,+2.5,1.94,1.96
2018-03-24 16:30:00,New England Revolution,New York City,2,2,-0.25,2.0300000000000002,1.8900000000000001,+2.5,1.8599999999999999,2.04
2018-03-24 18:30:00,FC Dallas,Portland Timbers,1,1,-1,2.0700000000000003,1.85,+3,2.0,1.9
2018-03-24 21:00:00,Columbus Crew,DC United,3,1,-0.75,1.87,2.05,+2.75,1.97,1.9300000000000002
2018-03-24 22:00:00,New York Red Bulls,Minnesota United,3,0,-2,2.05,1.87,+3.25,1.9100000000000001,1.99
2018-03-25 00:00:00,Colorado Rapids,Sporting Kansas City,2,2,+0.25,1.8399999999999999,2.09,+2,1.85,2.05
2018-03-25 02:00:00,Vancouver Whitecaps,Los Angeles Galaxy,0,0,-0.75,1.88,2.04,+2.75,1.8599999999999999,2.04
2018-03-31 00:00:00,Toronto FC,Real Salt Lake,3,1,-1.25,2.08,1.85,+3,2.02,1.88
2018-03-31 17:00:00,Orlando City,New York Red Bulls,4,3,-0.25,1.87,2.05,+2.75,2.01,1.8900000000000001
2018-03-31 19:00:00,Columbus Crew,Vancouver Whitecaps,1,2,-1.25,2.04,1.88,+3,2.0700000000000003,1.83
2018-03-31 19:00:00,Los Angeles Galaxy,Los Angeles FC,4,3,-0.25,1.9100000000000001,2.01,+2.75,1.87,2.0300000000000002
2018-03-31 22:00:00,Chicago Fire,Portland Timbers,2,2,-0.25,1.9,2.02,+3,2.04,1.8599999999999999
2018-04-01 00:00:00,Minnesota United,Atlanta Utd,0,1,+0.5,1.85,2.08,+2.75,1.9100000000000001,1.99
2018-04-01 00:00:00,San Jose Earthquakes,New York City,1,2,0,1.92,2.0,+2.75,1.83,2.08
2018-04-01 00:30:00,Sporting Kansas City,DC United,1,0,-1.25,2.0700000000000003,1.85,+2.75,1.92,1.98
2018-04-01 00:30:00,Houston Dynamo,New England Revolution,0,2,-0.75,1.87,2.05,+3,1.9300000000000002,1.97
2018-04-01 01:00:00,Colorado Rapids,Philadelphia Union,3,0,-0.25,1.96,1.96,+2.5,1.99,1.9100000000000001
2018-04-01 02:00:00,Seattle Sounders,Club de Foot Montreal,0,1,-1,2.02,1.9,+2.75,1.98,1.92
2018-04-06 23:30:00,New England Revolution,Club de Foot Montreal,4,0,-0.75,1.99,1.9300000000000002,+2.75,1.88,2.02
2018-04-07 21:00:00,Atlanta Utd,Los Angeles FC,5,0,-1,1.99,1.9300000000000002,+3.5,1.97,1.9300000000000002
2018-04-07 23:00:00,Philadelphia Union,San Jose Earthquakes,1,1,-0.75,2.0700000000000003,1.85,+2.75,1.9,2.0
2018-04-08 00:00:00,FC Dallas,Colorado Rapids,1,1,-1.25,2.1,1.83,+2.75,2.01,1.8900000000000001
2018-04-08 00:30:00,Chicago Fire,Columbus Crew,1,0,0,1.87,2.05,+2.75,1.83,2.08
2018-04-08 01:30:00,Real Salt Lake,Vancouver Whitecaps,2,1,-0.5,1.85,2.08,+2.75,1.9,2.0
2018-04-08 20:00:00,Orlando City,Portland Timbers,3,2,-0.25,1.8399999999999999,2.09,+3,2.0700000000000003,1.83
