Portland Timbers - Houston Dynamo,"Sunday, 25 Apr 2021, 02:30","Final result 2:1 (1:1, 1:0)",2.08 3.76,;-2.5 8.02 1.11;-1.5 3.74 1.3;-1.25 3.59 1.32;-1 2.98 1.44;-0.75 2.4 1.63;-0.5 2.08 1.8399999999999999;-0.25 1.81 2.1;0 1.54 2.63;+0.25 1.43 3.04;+0.5 1.34 3.5;+0.75 1.26 4.13;+1.5 1.11 8.09,;+1.5 1.18 5.28;+2.5 1.62 2.4;+2.75 1.76 2.15;+3 1.99 1.9;+3.25 2.25 1.69;+3.5 2.52 1.5699999999999998;+4.5 4.43 1.23
Colorado Rapids - Austin FC,"Sunday, 25 Apr 2021, 01:00","Final result 1:3 (1:0, 0:3)",1.6 4.33,;-2.5 4.98 1.2;-1.75 3.58 1.33;-1.5 2.5700000000000003 1.56;-1.25 2.2800000000000002 1.69;-1 1.98 1.9300000000000002;-0.75 1.74 2.21;-0.5 1.5899999999999999 2.5;-0.25 1.47 2.88;0 1.31 3.67;+0.25 1.25 4.24;+0.5 1.17 5.64,;+1.5 1.17 5.62;+2.5 1.5699999999999998 2.51;+2.75 1.7 2.24;+3 1.92 1.97;+3.25 2.17 1.75;+3.5 2.44 1.6;+4.5 4.25 1.25
Atlanta Utd - Chicago Fire,"Sunday, 25 Apr 2021, 00:00","Final result 3:1 (1:0, 2:1)",1.99 3.86,;-2.5 7.92 1.11;-1.5 3.51 1.34;-1 2.7800000000000002 1.49;-0.75 2.27 1.7;-0.5 1.99 1.92;-0.25 1.74 2.21;0 1.49 2.8;+0.5 1.31 3.69;+1.5 1.1 8.34,;+1.5 1.22 4.67;+2.25 1.55 2.59;+2.5 1.76 2.1399999999999997;+2.75 1.96 1.9300000000000002;+3 2.25 1.69;+3.25 2.54 1.56;+3.5 2.8200000000000003 1.46;+4.5 4.98 1.2
Minnesota United - Real Salt Lake,"Sunday, 25 Apr 2021, 00:00","Final result 1:2 (0:2, 1:0)",1.78 3.82,;-2.5 6.38 1.1400000000000001;-1.5 3.07 1.41;-1.25 2.73 1.51;-1 2.37 1.65;-0.75 2.0 1.9100000000000001;-0.5 1.77 2.15;-0.25 1.55 2.6100000000000003;+0.5 1.22 4.76,;+1.5 1.22 4.63;+2.25 1.53 2.62;+2.5 1.74 2.17;+2.75 1.94 1.94;+3 2.25 1.7;+3.25 2.56 1.56;+3.5 2.85 1.45;+4.5 5.32 1.18
New England Revolution - DC United,"Sunday, 25 Apr 2021, 00:00","Final result 1:0 (0:0, 1:0)",1.49 4.43,;-2.5 4.55 1.23;-1.75 2.8600000000000003 1.47;-1.5 2.41 1.63;-1.25 2.1100000000000003 1.81;-1 1.79 2.12;-0.75 1.6 2.4699999999999998;-0.5 1.47 2.81;+0.5 1.12 7.29,;+1.5 1.22 4.54;+2.25 1.52 2.67;+2.5 1.71 2.23;+2.75 1.9 1.99;+3 2.2 1.73;+3.25 2.51 1.5699999999999998;+3.5 2.81 1.47;+4.5 5.43 1.17
Philadelphia Union - Inter Miami,"Sunday, 25 Apr 2021, 00:00","Final result 1:2 (0:0, 1:2)",2.04 3.8,;-1.5 3.85 1.29;-1.25 3.75 1.3;-1 3.0 1.44;-0.75 2.3600000000000003 1.65;-0.5 2.04 1.88;-0.25 1.77 2.16;0 1.51 2.7199999999999998;+0.25 1.43 3.03;+0.5 1.32 3.6;+0.75 1.25 4.29;+1.5 1.1 8.21,;+1.5 1.23 4.41;+2.25 1.56 2.54;+2.5 1.78 2.13;+2.75 1.98 1.9100000000000001;+3 2.3 1.67;+3.25 2.6100000000000003 1.54;+3.5 2.9 1.44;+4.5 5.5 1.17
Los Angeles FC - Seattle Sounders,"Saturday, 24 Apr 2021, 22:00","Final result 1:1 (1:0, 0:1)",1.8199999999999998 4.07,;-2.5 6.49 1.1400000000000001;-1.75 3.93 1.28;-1.5 3.11 1.4;-1.25 2.7800000000000002 1.49;-1 2.4299999999999997 1.62;-0.75 2.05 1.8599999999999999;-0.5 1.81 2.09;-0.25 1.6 2.4699999999999998;0 1.4 3.16;+0.25 1.32 3.62;+0.5 1.26 4.1899999999999995,;+1.5 1.15 6.07;+2.5 1.52 2.65;+2.75 1.6400000000000001 2.3600000000000003;+3 1.8199999999999998 2.08;+3.25 2.0700000000000003 1.81;+3.5 2.33 1.65;+3.75 2.7 1.51;+4.5 4.05 1.26;+5.5 7.75 1.11
San Jose Earthquakes - FC Dallas,"Saturday, 24 Apr 2021, 19:30","Final result 3:1 (1:0, 2:1)",2.23 3.58,;-1.5 4.23 1.26;-0.75 2.6100000000000003 1.55;-0.5 2.2199999999999998 1.73;-0.25 1.9300000000000002 1.98;0 1.62 2.4299999999999997;+0.25 1.47 2.88;+0.5 1.37 3.3;+1.5 1.12 7.19,;+1.5 1.21 4.779999999999999;+2.25 1.51 2.69;+2.5 1.71 2.2199999999999998;+2.75 1.8900000000000001 1.99;+3 2.17 1.75;+3.25 2.46 1.6;+3.5 2.73 1.49;+4.5 5.02 1.19
Toronto FC - Vancouver Whitecaps,"Saturday, 24 Apr 2021, 19:00","Final result 2:2 (1:0, 1:2)",1.85 3.91,;-2.5 6.91 1.13;-1.5 3.22 1.38;-1 2.51 1.5899999999999999;-0.75 2.08 1.8199999999999998;-0.5 1.85 2.0700000000000003;-0.25 1.6099999999999999 2.44;0 1.3900000000000001 3.23;+0.5 1.26 4.220000000000001,;+1.5 1.23 4.48;+2.25 1.53 2.63;+2.5 1.73 2.2;+2.75 1.9300000000000002 1.96;+3 2.23 1.71;+3.25 2.54 1.56;+3.5 2.83 1.46;+4.5 5.63 1.17
Nashville SC - Club de Foot Montreal,"Saturday, 24 Apr 2021, 18:00","Final result 2:2 (0:2, 2:0)",1.5899999999999999 3.98,;-2.5 4.859999999999999 1.21;-1.5 2.6100000000000003 1.55;-1.25 2.3 1.6800000000000002;-1 1.99 1.92;-0.75 1.74 2.21;-0.5 1.58 2.51;+0.5 1.1400000000000001 6.44,;+1.5 1.23 4.46;+2.25 1.53 2.62;+2.5 1.73 2.19;+2.75 1.9300000000000002 1.95;+3 2.24 1.7;+3.25 2.56 1.55;+3.5 2.8600000000000003 1.45;+4.5 5.55 1.17
New York City - FC Cincinnati,"Saturday, 24 Apr 2021, 17:00","Final result 5:0 (1:0, 4:0)",1.41 5.08,;-3.5 8.02 1.11;-2.5 3.8 1.3;-2.25 3.46 1.34;-2 2.91 1.46;-1.75 2.5 1.5899999999999999;-1.5 2.16 1.76;-1.25 1.9100000000000001 2.0;-1 1.6400000000000001 2.3899999999999997;-0.75 1.5 2.77;-0.5 1.4 3.13;-0.25 1.27 4.0600000000000005;+0.5 1.11 7.67,;+1.5 1.17 5.41;+2.5 1.56 2.55;+2.75 1.69 2.26;+3 1.92 1.97;+3.25 2.19 1.73;+3.5 2.4699999999999998 1.5899999999999999;+4.5 4.49 1.23
Sporting Kansas City - Orlando City,"Friday, 23 Apr 2021, 23:30","Final result 1:1 (1:0, 0:1)",2.1399999999999997 3.68,;-1.5 4.02 1.27;-1.25 3.35 1.3599999999999999;-1 2.96 1.45;-0.75 2.49 1.5899999999999999;-0.5 2.13 1.79;-0.25 1.85 2.06;0 1.5699999999999998 2.55;+0.25 1.44 3.0;+0.5 1.35 3.42;+1.5 1.11 7.62,;+1.5 1.23 4.4;+2.25 1.56 2.54;+2.5 1.78 2.13;+2.75 1.98 1.9100000000000001;+3 2.3 1.67;+3.25 2.62 1.53;+3.5 2.91 1.44;+4.5 5.63 1.17
Vancouver Whitecaps - Portland Timbers,"Monday, 19 Apr 2021, 02:00","Final result 1:0 (0:0, 1:0)",4.4399999999999995 4.08,;-0.25 3.88 1.29;0 3.37 1.3599999999999999;+0.25 2.55 1.5699999999999998;+0.5 2.1399999999999997 1.78;+0.75 1.8900000000000001 2.02;+1 1.63 2.42;+1.25 1.49 2.8;+1.5 1.3900000000000001 3.16;+1.75 1.28 3.95,;+1.5 1.23 4.48;+2.25 1.54 2.6;+2.5 1.74 2.17;+2.75 1.94 1.94;+3 2.24 1.7;+3.25 2.55 1.56;+3.5 2.84 1.46;+4.5 5.24 1.18
Columbus Crew - Philadelphia Union,"Sunday, 18 Apr 2021, 21:30","Final result 0:0 (0:0, 0:0)",1.87 3.86,;-1.5 3.52 1.33;-1.25 3.09 1.41;-1 2.67 1.53;-0.75 2.1399999999999997 1.78;-0.5 1.87 2.05;-0.25 1.63 2.41;0 1.4 3.19;+0.25 1.31 3.69;+0.5 1.26 4.1899999999999995,;+1.5 1.28 3.94;+2 1.42 3.04;+2.25 1.6400000000000001 2.3600000000000003;+2.5 1.87 2.02;+2.75 2.1100000000000003 1.79;+3 2.54 1.56;+3.5 3.23 1.37;+4.5 6.42 1.1400000000000001
Inter Miami - Los Angeles Galaxy,"Sunday, 18 Apr 2021, 19:00","Final result 2:3 (1:0, 1:3)",1.6 4.4,,
Chicago Fire - New England Revolution,"Sunday, 18 Apr 2021, 00:30","Final result 2:2 (2:2, 0:0)",2.46 3.66,;-1.5 5.12 1.19;-1 4.3 1.25;-0.75 3.09 1.41;-0.5 2.45 1.6099999999999999;-0.25 2.13 1.79;0 1.81 2.12;+0.25 1.6 2.48;+0.5 1.47 2.8600000000000003;+0.75 1.3599999999999999 3.34;+1 1.23 4.6;+1.5 1.16 5.95,;+1.5 1.24 4.32;+2.25 1.54 2.6;+2.5 1.73 2.19;+2.75 1.9300000000000002 1.95;+3 2.25 1.69;+3.25 2.58 1.55;+3.5 2.8899999999999997 1.44;+4.5 5.72 1.16
Nashville SC - FC Cincinnati,"Sunday, 18 Apr 2021, 00:30","Final result 2:2 (1:2, 1:0)",1.75 3.59,;-1.5 3.55 1.33;-1.25 3.07 1.42;-1 2.56 1.56;-0.75 2.02 1.8900000000000001;-0.5 1.74 2.2;-0.25 1.51 2.74;0 1.33 3.64;+0.25 1.26 4.17;+0.5 1.18 5.46,;+1.5 1.52 2.67;+1.75 1.6600000000000001 2.31;+2 1.92 1.96;+2.25 2.26 1.69;+2.5 2.6100000000000003 1.54;+3.5 4.79 1.21
